Date,Discharge 
6/7/2001,7484.76
6/8/2001,6981.75
6/9/2001,6446.92
6/10/2001,5945.4
6/11/2001,5417.07
6/12/2001,4903.81
6/13/2001,4345.47
6/14/2001,8628.43
6/15/2001,8911.41
6/16/2001,9017.27
6/17/2001,9158.56
6/18/2001,9283.25
6/19/2001,9414.04
6/20/2001,9563.75
6/21/2001,9428.19
6/22/2001,9636.35
6/23/2001,9811.44
6/24/2001,9957.22
6/25/2001,10080.31
6/26/2001,10161.85
6/27/2001,10214.72
6/28/2001,9848.75
6/29/2001,10014.05
6/30/2001,10150.24
7/1/2001,10324.03
7/2/2001,10481.47
7/3/2001,10632.13
7/4/2001,10826.26
7/5/2001,9775.22
7/6/2001,9899.11
7/7/2001,10057.7
7/8/2001,10190.4
7/9/2001,10319.59
7/10/2001,10426.35
7/11/2001,10520.27
7/12/2001,9730.4
7/13/2001,9889.82
7/14/2001,10061.45
7/15/2001,10235.65
7/16/2001,10393.45
7/17/2001,10585.41
7/18/2001,10770.39
7/19/2001,9573.21
7/20/2001,9791.62
7/21/2001,10044.03
7/22/2001,10317.35
7/23/2001,10557.7
7/24/2001,10762.45
7/25/2001,10941.39
7/26/2001,9912.6
7/27/2001,9952.03
7/28/2001,9962.75
7/29/2001,10065.77
7/30/2001,10358.66
7/31/2001,10917.63
8/1/2001,10823.16
8/2/2001,10999.1
8/3/2001,11174.46
8/4/2001,11302.69
8/5/2001,11470.89
8/6/2001,11530.42
8/7/2001,11571.33
8/8/2001,11430.89
8/9/2001,11430.11
8/10/2001,11398.33
8/11/2001,11378.95
8/12/2001,11337.83
8/13/2001,11228.29
8/14/2001,11140.34
8/15/2001,10826.3
8/16/2001,10701.51
8/17/2001,10604.76
8/18/2001,10583.44
8/19/2001,10536.91
8/20/2001,10531.32
8/21/2001,10468.96
8/22/2001,10385.72
8/23/2001,10321.87
8/24/2001,10254.76
8/25/2001,10231.97
8/26/2001,10304.22
8/27/2001,10354.23
8/28/2001,10372.6
8/29/2001,10612.77
8/30/2001,10439.64
8/31/2001,10335.46
9/1/2001,10281.75
9/2/2001,10224.83
9/3/2001,10129.73
9/4/2001,10681.95
9/5/2001,10634.09
9/6/2001,10570.43
9/7/2001,10535.08
9/8/2001,10458.68
9/9/2001,10394.81
9/10/2001,10330.86
9/11/2001,10263.67
9/12/2001,10186.86
9/13/2001,10170.28
9/14/2001,10112.41
9/15/2001,10048.1
9/16/2001,10060.11
9/17/2001,10021.21
9/18/2001,10760.44
9/19/2001,10787.53
9/20/2001,10755.01
9/21/2001,10675.35
9/22/2001,10579.82
9/23/2001,10474.66
9/24/2001,10369.28
9/25/2001,10404.68
9/26/2001,10378.92
9/27/2001,10353.15
9/28/2001,10365.32
9/29/2001,10351.72
9/30/2001,10348.08
10/1/2001,9995.49
10/2/2001,10054.44
10/3/2001,9979.71
10/4/2001,10038.7
10/5/2001,10100.79
10/6/2001,10200.89
10/7/2001,10262.79
10/8/2001,9883.88
10/9/2001,9977.54
10/10/2001,10020.11
10/11/2001,10129.39
10/12/2001,10175.01
10/13/2001,10239.6
10/14/2001,10285.11
10/15/2001,9970
10/16/2001,9967.73
10/17/2001,9943.15
10/18/2001,9854.71
10/19/2001,9750.11
10/20/2001,9630.19
10/21/2001,9501.61
10/22/2001,9121.16
10/23/2001,8916.51
10/24/2001,8710.89
10/25/2001,8527.32
10/26/2001,8372.67
10/27/2001,8230.69
10/28/2001,8325.42
10/29/2001,8296.13
10/30/2001,8195.25
10/31/2001,8121.7
11/1/2001,8004.72
11/2/2001,7830.54
11/3/2001,7719.4
11/4/2001,7195.19
11/5/2001,7081.1
11/6/2001,6976.91
11/7/2001,6975.37
11/8/2001,7158.38
11/9/2001,7252.15
11/10/2001,7304.97
11/11/2001,6883.87
11/12/2001,6911.93
11/13/2001,6943.37
11/14/2001,6928.5
11/15/2001,6863.2
11/16/2001,6697.19
11/17/2001,6637.19
11/18/2001,6054.49
11/19/2001,5985.99
11/20/2001,5806.05
11/21/2001,5682.23
11/22/2001,5704.59
11/23/2001,5801.69
11/24/2001,5916.22
11/25/2001,
11/26/2001,
11/27/2001,
11/28/2001,
11/29/2001,
11/30/2001,
12/1/2001,
12/2/2001,
12/3/2001,
12/4/2001,
12/5/2001,
12/6/2001,
12/7/2001,
12/8/2001,
12/9/2001,
12/10/2001,
12/11/2001,
12/12/2001,
12/13/2001,
12/14/2001,
12/15/2001,
12/16/2001,
12/17/2001,
12/18/2001,
