Date,Discharge (m3/s)
2001-06-07,7484.76
2001-06-08,6981.75
2001-06-09,6446.92
2001-06-10,5945.4
2001-06-11,5417.07
2001-06-12,4903.81
2001-06-13,4345.47
2001-06-14,8628.43
2001-06-15,8911.41
2001-06-16,9017.27
2001-06-17,9158.56
2001-06-18,9283.25
2001-06-19,9414.04
2001-06-20,9563.75
2001-06-21,9428.19
2001-06-22,9636.35
2001-06-23,9811.44
2001-06-24,9957.22
2001-06-25,10080.31
2001-06-26,10161.85
2001-06-27,10214.72
2001-06-28,9848.75
2001-06-29,10014.05
2001-06-30,10150.24
2001-07-01,10324.03
2001-07-02,10481.47
2001-07-03,10632.13
2001-07-04,10826.26
2001-07-05,9775.22
2001-07-06,9899.11
2001-07-07,10057.7
2001-07-08,10190.4
2001-07-09,10319.59
2001-07-10,10426.35
2001-07-11,10520.27
2001-07-12,9730.4
2001-07-13,9889.82
2001-07-14,10061.45
2001-07-15,10235.65
2001-07-16,10393.45
2001-07-17,10585.41
2001-07-18,10770.39
2001-07-19,9573.21
2001-07-20,9791.62
2001-07-21,10044.03
2001-07-22,10317.35
2001-07-23,10557.7
2001-07-24,10762.45
2001-07-25,10941.39
2001-07-26,9912.6
2001-07-27,9952.03
2001-07-28,9962.75
2001-07-29,10065.77
2001-07-30,10358.66
2001-07-31,10917.63
2001-08-01,10823.16
2001-08-02,10999.1
2001-08-03,11174.46
2001-08-04,11302.69
2001-08-05,11470.89
2001-08-06,11530.42
2001-08-07,11571.33
2001-08-08,11430.89
2001-08-09,11430.11
2001-08-10,11398.33
2001-08-11,11378.95
2001-08-12,11337.83
2001-08-13,11228.29
2001-08-14,11140.34
2001-08-15,10826.3
2001-08-16,10701.51
2001-08-17,10604.76
2001-08-18,10583.44
2001-08-19,10536.91
2001-08-20,10531.32
2001-08-21,10468.96
2001-08-22,10385.72
2001-08-23,10321.87
2001-08-24,10254.76
2001-08-25,10231.97
2001-08-26,10304.22
2001-08-27,10354.23
2001-08-28,10372.6
2001-08-29,10612.77
2001-08-30,10439.64
2001-08-31,10335.46
2001-09-01,10281.75
2001-09-02,10224.83
2001-09-03,10129.73
2001-09-04,10681.95
